groupId,groupName,status,type,department,category,subcategory,needType,symptoms,aliases,keywords,activeIngredient,targetCustomer,areaType,aisle,side,section,sectionLabel,zoneId,horizontal,vertical,shelfNote,advice,ageRestricted,pharmacistOnly,priority,notes,bay
tommee-tippee-cups-bay1-top,Tommee Tippee Cups,active,Category,Baby,Baby Feeding,Training Cups,baby-care,,"sippy cup,straw cup,trainer cup,spout cup","Tommee Tippee,cup,straw,spout,trainer,drink bottle,spill proof",,"baby,toddler",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,top,Bay 1 Tommee Tippee top rows,FALSE,FALSE,FALSE,90,Includes multiple colours and sizes sharing shelf space,1
tommee-tippee-health-bay1-top,Tommee Tippee Baby Health,active,Category,Baby,Baby Care,Health Accessories,baby-care,"fever,temperature","baby thermometer,thermometer","Tommee Tippee,healthcare,thermometer,temperature,fever",,"baby,child,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,top,Bay 1 Tommee Tippee top rows,TRUE,FALSE,FALSE,75,,1
tommee-tippee-feeding-bay1-top,Tommee Tippee Feeding Accessories,active,Category,Baby,Baby Feeding,Feeding Accessories,baby-care,,"food feeder,bib,feeder","Tommee Tippee,feeding,food feeder,bib,weaning",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,top,Bay 1 Tommee Tippee top rows,FALSE,FALSE,FALSE,75,,1
tommee-tippee-cleaning-bay1-top,Tommee Tippee Cleaning Accessories,active,Category,Baby,Baby Feeding,Bottle Cleaning,daily-use,,"bottle brush,teat brush","Tommee Tippee,bottle brush,teat brush,cleaning,feeding accessories",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,top,Bay 1 Tommee Tippee top rows,FALSE,FALSE,FALSE,75,,1
tommee-tippee-soothers-bay1-middle,Tommee Tippee Soothers,active,Category,Baby,Baby Care,Soothers & Pacifiers,baby-care,"teething,settling,comfort","dummy,pacifier,soother","Tommee Tippee,soother,pacifier,dummy,night time,cherry,ultra light,silicone,latex",,"baby,toddler,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,middle,Bay 1 Tommee Tippee middle rows,FALSE,FALSE,FALSE,88,Age ranges vary by product,1
tommee-tippee-teethers-bay1-middle,Tommee Tippee Teethers,active,Category,Baby,Baby Care,Teethers,baby-care,"teething,sore gums","teether,chew toy","Tommee Tippee,teether,teething,chew,soft chew",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,middle,Bay 1 Tommee Tippee middle rows,FALSE,FALSE,FALSE,76,,1
tommee-tippee-bottles-bay1-top,Tommee Tippee Bottles,active,Category,Baby,Baby Feeding,Baby Bottles,baby-care,,"baby bottle,feeding bottle","Tommee Tippee,bottle,teat,novelty bottle",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,top,Bay 1 Tommee Tippee top rows,FALSE,FALSE,FALSE,78,,1
tommee-tippee-bottles-bay1-middle,Tommee Tippee Natural Start Bottles,active,Category,Baby,Baby Feeding,Baby Bottles,baby-care,,"baby bottle,feeding bottle,NS bottle","Tommee Tippee,Natural Start,bottle,PPSU,PP,slow teat",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,middle,Bay 1 Tommee Tippee bottle rows,FALSE,FALSE,FALSE,84,,1
tommee-tippee-bottles-bay1-bottom,Tommee Tippee Anti-Colic & Glass Bottles,active,Category,Baby,Baby Feeding,Baby Bottles,baby-care,"colic,wind,reflux","anti-colic bottle,glass bottle,silicone bottle","Tommee Tippee,Advanced Anti-Colic,glass bottle,silicone bottle,slow teat",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,bottom,Bay 1 Tommee Tippee lower bottle rows,TRUE,FALSE,FALSE,82,,1
tommee-tippee-breast-pumps-bay1-bottom,Tommee Tippee Breast Pumps,active,Category,Baby,Breastfeeding,Breast Pumps,baby-care,,"breast pump,manual pump,electric pump","Tommee Tippee,Made for Me,breast pump,single electric,silicone pump",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,bottom,Bay 1 Tommee Tippee bottom rows,TRUE,FALSE,FALSE,85,,1
